id,name,ingredients,mood_tags,meal_type,weather_tags,dietary_tags,temperature,price,main_category,sub_category,base
1,Chicken Creamy Mushroom n Aglio Olio rice,"chicken, rice, vegetables, sauce, pasta, garlic, olive oil, mushroom","joyful, love","Lunch, Dinner",rainy,Non-Vegetarian,Hot,290,Food,Meal,
2,Salisbury Steak n Mushroom Sauce,"beef, rice, vegetables, sauce, mushroom","anticipating, sad","Lunch, Dinner",rainy,Non-Vegetarian,Hot,290,Food,Meal,
3,Fish Fillet n Buttermilk Sauce,"fish, rice, vegetables, sauce","despair, fearful","Lunch, Dinner",rainy,Non-Vegetarian (Pescatarian),Hot,270,Food,Meal,
4,Crispy Chicken Fingers n Aglio Olio rice,"chicken, rice, vegetables, sauce, pasta, garlic, olive oil","trusting, joyful, fearful","Lunch, Dinner",rainy,Non-Vegetarian,Hot,250,Food,Meal,
5,Hungarian Sausage n Aglio Olio rice,"pork, rice, vegetables, sauce, pasta, garlic, olive oil","anticipating, delight","Lunch, Dinner",rainy,Non-Vegetarian,Hot,250,Food,Meal,
6,Corned Beef and Eggs,"beef, rice, vegetables, sauce, egg","despair, angry","Breakfast, Lunch, Dinner","rainy, cool_dry",Non-Vegetarian,Hot,210,Food,Meal,
7,Spam n Eggs,"pork, rice, vegetables, sauce, egg","anticipating, aggressiveness, anxiety","Breakfast, Lunch, Dinner","rainy, cool_dry",Non-Vegetarian,Hot,190,Food,Meal,
8,Italian Meatballs n Basil Tomato Sauce,"pork, rice, vegetables, sauce","joyful, disgusted, contempt","Lunch, Dinner",rainy,Non-Vegetarian,Hot,260,Food,Meal,
9,Bacon Sandwich,"pork, bread, lettuce, tomato, mayo","love, sad, angry","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,210,Food,Bread,
10,Ham Sandwich,"pork, bread, lettuce, tomato, mayo","surprised, fearful, remorse","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,210,Food,Bread,
11,Spam Sandwich,"pork, bread, lettuce, tomato, mayo","disappointment, outrage","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,210,Food,Bread,
12,Chicken Sandwich,"chicken, bread, lettuce, tomato, mayo","trusting, aggressiveness, despair","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,210,Food,Bread,
13,Pepperoni Cheese Panini,"pork, bread, lettuce, tomato, mayo, cheese","remorse, fearful","Breakfast, Lunch, Snack","cool_dry, hot_dry",Non-Vegetarian,Warm,190,Food,Bread,
