id,name,ingredients,mood_tags,meal_type,weather_tags,dietary_tags,temperature,price,main_category,sub_category,base
1,Chicken Creamy Mushroom n Aglio Olio rice,"chicken, rice, vegetables, sauce, pasta, garlic, olive oil, mushroom","hangry, cozy, romantic","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,290,Food,Meal,
2,Salisbury Steak n Mushroom Sauce,"beef, rice, vegetables, sauce, mushroom","hangry, comfort","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,290,Food,Meal,
3,Fish Fillet n Buttermilk Sauce,"fish, rice, vegetables, sauce","hangry, vitality, curiosity","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian (Pescatarian),Hot,270,Food,Meal,
4,Crispy Chicken Fingers n Aglio Olio rice,"chicken, rice, vegetables, sauce, pasta, garlic, olive oil","hangry, celebratory, comfort","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,250,Food,Meal,
5,Hungarian Sausage n Aglio Olio rice,"pork, rice, vegetables, sauce, pasta, garlic, olive oil","stressed, hangry","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,250,Food,Meal,
6,Corned Beef and Eggs,"beef, rice, vegetables, sauce, egg","hangry, romantic, cozy","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,210,Food,Meal,
7,Spam n Eggs,"pork, rice, vegetables, sauce, egg","hangry, routine, comfort","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,190,Food,Meal,
8,Italian Meatballs n Basil Tomato Sauce,"pork, rice, vegetables, sauce","hangry, romantic, cozy","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,260,Food,Meal,
9,Bacon Sandwich,"pork, bread, lettuce, tomato, mayo","hangry, comfort","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,210,Food,Bread,
10,Ham Sandwich,"pork, bread, lettuce, tomato, mayo","routine, vitality","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,210,Food,Bread,
11,Spam Sandwich,"pork, bread, lettuce, tomato, mayo","comfort, routine","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,210,Food,Bread,
12,Chicken Sandwich,"chicken, bread, lettuce, tomato, mayo","vitality, routine","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,210,Food,Bread,
13,Pepperoni Cheese Panini,"pork, bread, lettuce, tomato, mayo, cheese","stressed, celebratory","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,190,Food,Bread,
14,Chicken Pesto Panini,"chicken, bread, lettuce, tomato, mayo, cheese, basil, garlic, pine nuts","romantic, cozy","Breakfast, Snack","any, mild",Non-Vegetarian,Warm,190,Food,Bread,
15,Aglio e Olio,pasta,"vitality, cozy","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,170,Food,Pasta,
16,Chicken Alfredo,"chicken, pasta, cream, cheese","comfort, celebratory","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,170,Food,Pasta,
17,Tomato Pesto,"pasta, tomato sauce, herbs, basil, garlic, olive oil","romantic, curiosity","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,170,Food,Pasta,
18,Carbonara,"pasta, cream, cheese","hangry, stressed","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,150,Food,Pasta,
19,Spaghetti,pasta,"routine, comfort","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian,Hot,150,Food,Pasta,
20,Tuna Pesto,"fish, pasta, basil, garlic, olive oil, tuna chunks","vitality, curiosity","Lunch, Dinner","rainy, cold, cloudy",Non-Vegetarian (Pescatarian),Hot,170,Food,Pasta,
21,Classic Waffle,"waffle batter, syrup, butter","routine, cozy","Snack, Dessert","any, mild",Vegetarian,Warm,99,Food,Waffle,
22,Apple Waffle,"waffle batter, syrup, butter, apple, cinnamon","cozy, vitality","Snack, Dessert","any, mild",Vegetarian,Warm,150,Food,Waffle,
23,Biscoff Waffle,"waffle batter, syrup, butter, biscoff spread, cookie crumbs","curiosity, celebratory","Snack, Dessert","any, mild",Vegetarian,Warm,160,Food,Waffle,
24,Ice Cream Waffle,"waffle batter, syrup, butter, vanilla ice cream","celebratory, stressed","Snack, Dessert","any, mild",Vegetarian,Warm,130,Food,Waffle,
25,Blueberry Waffle,"waffle batter, syrup, butter, blueberry compote","vitality, routine","Snack, Dessert","any, mild",Vegetarian,Warm,145,Food,Waffle,
26,Cheesy Waffle,"waffle batter, syrup, butter","curiosity, hangry","Snack, Dessert","any, mild",Vegetarian,Warm,130,Food,Waffle,
27,Choco Waffle,"waffle batter, syrup, butter, chocolate hazelnut spread","comfort, celebratory","Snack, Dessert","any, mild",Vegetarian,Warm,120,Food,Waffle,
28,Mango Waffle,"waffle batter, syrup, butter, fresh mango","refresh, romantic","Snack, Dessert","any, mild",Vegetarian,Warm,145,Food,Waffle,
29,Bacon Waffle,"pork, waffle batter, syrup, butter","hangry, stressed","Snack, Dessert","any, mild",Non-Vegetarian,Warm,160,Food,Waffle,
